Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),0.45138964082705596,1.2953847924957453,0.18723404255319148,0.6450601584315193,1.0,4/13,8.43%,CFL1;SPARC;MEF2C;ETS1
prerank,Protein Stabilization (GO:0050821),0.3648795738019996,1.2935705705202478,0.1793103448275862,0.6413997572892675,1.0,15/34,30.29%,GAPDH;SOX4;UXT;FLNA;PFN1;PFDN5;CAMLG;TCP1;PFDN2;CCT8;EFNA1;CCT3;CTNND1;CCT4;CCT6A
prerank,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),0.4649520439904732,1.2913158524425083,0.19136690647482013,0.6382938098323637,1.0,6/11,24.72%,RALB;ACTB;CCNI;CALM1;SNF8;CALM3
prerank,Cell-Cell Junction Assembly (GO:0007043),0.4773617563046474,1.2873667736249952,0.18409425625920472,0.6402287486938326,1.0,3/11,4.94%,GJA1;ACTG1;CD9
prerank,Aerobic Electron Transport Chain (GO:0019646),0.3516100725912141,1.2810049688536058,0.16524216524216523,0.6485538850640691,1.0,24/40,42.83%,UQCRB;UQCRH;NDUFS5;COX5A;COX7B;NDUFB2;COX4I1;NDUFS8;NDUFAB1;NDUFB8;COX7C;COX8A;NDUFB7;NDUFA6;UQCRFS1;NDUFA1;NDUFV2;NDUFS7;NDUFB4;COX6C;NDUFB1;UQCR10;NDUFB5;NDUFB3
prerank,Positive Regulation Of Cellular Component Biogenesis (GO:0044089),0.4406635359350033,1.2791884527758934,0.19491525423728814,0.6442850189400383,1.0,7/15,22.56%,SYNPO;PFN1;BAX;BID;LGALS3;SNF8;RGCC
prerank,Negative Regulation Of Protein Kinase Activity (GO:0006469),0.4628400250686817,1.278304281729989,0.2081513828238719,0.6385263401741365,1.0,4/11,15.88%,HSPB1;ITGB1BP1;NPM1;WWTR1
prerank,Regulation Of Protein-Containing Complex Assembly (GO:0043254),0.47810260152066125,1.2751750682720586,0.1945288753799392,0.6382314447533796,1.0,10/11,47.28%,GSN;RALB;BAX;BID;LGALS3;NAPA;SUMO1;TGFB1;SH3GLB1;BRK1
prerank,Regulation Of Response To External Stimulus (GO:0032101),0.4725351515204874,1.2722873772739098,0.2148876404494382,0.6373538531577682,1.0,3/11,5.43%,MGLL;CXCR4;TMSB4X
prerank,Cellular Response To Organonitrogen Compound (GO:0071417),0.4326556406646511,1.2667584465507418,0.2143884892086331,0.6435350421770109,1.0,9/15,32.80%,MEF2C;LAMTOR2;ACTB;ATP2B4;LAMTOR1;JUP;HSP90B1;RAP1A;LARP1
prerank,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.3327140692662109,1.248343727035896,0.2094017094017094,0.681788188191926,1.0,20/42,35.03%,INSR;SOX4;YBX1;MEF2C;ACTN4;PTP4A3;PFDN5;HINT1;HNRNPD;WWTR1;ZNHIT1;NONO;PPP2R1A;ZNF22;BPTF;SUPT4H1;JMJD1C;NR5A2;ATF4;RALY
prerank,Cellular Respiration (GO:0045333),0.33391593222065036,1.245511122778907,0.20056497175141244,0.6814646134918485,1.0,25/43,42.83%,UQCRB;UQCRH;NDUFS5;COX5A;COX7B;NDUFB2;COX4I1;NDUFS8;NDUFAB1;NDUFB8;COX7C;MDH2;COX8A;NDUFB7;NDUFA6;UQCRFS1;NDUFA1;NDUFV2;NDUFS7;NDUFB4;COX6C;NDUFB1;UQCR10;NDUFB5;NDUFB3
prerank,Blood Vessel Morphogenesis (GO:0048514),0.4490854261450569,1.2449371485896576,0.21843971631205675,0.6750915931901091,1.0,3/11,6.27%,COL4A1;FLT1;SOX18
prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),0.33763238791104366,1.2420921040179103,0.18723404255319148,0.6745493614483834,1.0,24/41,42.83%,UQCRB;UQCRH;NDUFS5;COX5A;COX7B;NDUFB2;COX4I1;NDUFS8;NDUFAB1;NDUFB8;COX7C;COX8A;NDUFB7;NDUFA6;UQCRFS1;NDUFA1;NDUFV2;NDUFS7;NDUFB4;COX6C;NDUFB1;UQCR10;NDUFB5;NDUFB3
prerank,Protein Autophosphorylation (GO:0046777),0.4206314871032816,1.2324238551471813,0.23672883787661406,0.6920114148484532,1.0,2/14,3.48%,INSR;FLT1
prerank,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),0.47414303631068816,1.2304726643931228,0.20821529745042494,0.6889940916555427,1.0,4/10,17.69%,SLC25A6;SLC25A5;LGALS3;PRELID1
prerank,Negative Regulation Of Programmed Cell Death (GO:0043069),0.3090210668208736,1.226608652833655,0.20708446866485014,0.6912012798872348,1.0,10/55,12.26%,TPT1;PTMA;PTMS;HSPB1;FLNA;CFL1;NPM1;PRDX2;TSC22D1;MAP4K4
prerank,Cellular Response To Salt (GO:1902075),0.46286767201115253,1.223660677688212,0.2622478386167147,0.691175389416288,1.0,6/10,31.89%,HNRNPA1;MEF2C;ATP2B4;HSP90B1;IQGAP1;CLIC4
prerank,Positive Regulation Of Angiogenesis (GO:0045766),0.37178191309171754,1.214560921763872,0.25,0.706854871386229,1.0,5/22,11.70%,CD34;HSPB1;FLT1;ETS1;MDK
prerank,Vesicle-Mediated Transport To The Plasma Membrane (GO:0098876),0.43131109071788964,1.2044273059181934,0.2607449856733524,0.7252121086188118,1.0,5/12,24.09%,RAB13;EHD4;SNX3;SNF8;EHD2
prerank,Regulation Of Cell Migration (GO:0030334),0.30033867475063436,1.203863611618129,0.2328767123287671,0.7190429409685776,1.0,13/57,12.26%,INSR;ENPP2;ACTG1;FLT1;FLNA;CXCR4;TMSB4X;DPYSL3;ACTN4;UBE2I;LIMCH1;MDK;MAP4K4
prerank,Protein N-linked Glycosylation (GO:0006487),0.4452738368632704,1.2032701306749736,0.2572614107883817,0.7129666635324956,1.0,3/11,10.52%,OST4;MLEC;UBE2J1
prerank,Regulation Of Translational Initiation (GO:0006446),0.37588938296473495,1.201492148283438,0.2482566248256625,0.7102548061819818,1.0,6/22,15.25%,HSPB1;EIF3H;EIF4B;NPM1;EIF3E;PAIP1
prerank,Regulation Of Apoptotic Process (GO:0042981),0.27531021929380195,1.1922102703062563,0.20268456375838925,0.7262432232366416,1.0,19/88,12.88%,TPT1;PTMA;PTMS;HSPB1;SOX4;FLNA;CFL1;LGALS1;MEF2C;ACTN4;NPM1;ANP32B;PRDX2;BAX;HTRA1;TSC22D1;MAP4K4;ACTB;NME1
prerank,Establishment Of Protein Localization To Mitochondrion (GO:0072655),0.4014970441428418,1.1896388287205502,0.2784256559766764,0.7249934622217857,1.0,8/15,31.27%,TIMM13;TOMM20;ROMO1;TOMM22;DNAJC15;TOMM7;AIP;TIMM8B
prerank,Regulation Of Cellular Response To Stress (GO:0080135),0.4197084727122774,1.1882778905510236,0.27011494252873564,0.7209354060429175,1.0,7/13,30.64%,SOX4;NPM1;MANF;UBE2N;SF3B5;CHCHD2;YY1
prerank,Regulation Of Endopeptidase Activity (GO:0052548),0.44526674732843885,1.183818832418658,0.27015558698727016,0.7252200283710518,1.0,2/10,2.92%,GAPDH;SERPINH1
prerank,Regulation Of Cold-Induced Thermogenesis (GO:0120161),0.42721354020624536,1.1817600627820901,0.28088235294117647,0.7231704281703082,1.0,5/11,9.82%,GJA1;GNAS;CXCR4;GRB10;LAMA4
prerank,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),0.3070028733144574,1.1809452722975855,0.25594405594405595,0.7179564903347025,1.0,9/46,8.43%,CD34;GJA1;ACTG1;ANXA2;UXT;GSN;ERP29;MEF2C;ETS1
prerank,Oxidative Phosphorylation (GO:0006119),0.3457090353204805,1.1779014836578514,0.2635228848821082,0.7180956521896958,1.0,7/28,14.55%,UQCRB;UQCRH;NDUFS5;NDUFB2;NDUFS8;NDUFAB1;NDUFB8
prerank,Positive Regulation Of Cell Motility (GO:2000147),0.32195673057629526,1.1772284275683276,0.27363896848137537,0.7126120326998164,1.0,7/34,12.26%,INSR;FLT1;CXCR4;ACTN4;UBE2I;MDK;MAP4K4
prerank,Protein Targeting To Mitochondrion (GO:0006626),0.4007463648081757,1.175916866782075,0.26666666666666666,0.7090371950159803,1.0,8/15,31.27%,TIMM13;TOMM20;ROMO1;TOMM22;DNAJC15;TOMM7;AIP;TIMM8B
prerank,Positive Regulation Of Protein Localization To Nucleus (GO:1900182),0.37817695667611234,1.1729911652235492,0.2844950213371266,0.7092143901166024,1.0,11/18,33.29%,FLNA;WWTR1;JUP;TCP1;CCT8;CCT3;CCT4;CCT6A;RAN;JAK1;TPR
prerank,Cellular Response To Insulin Stimulus (GO:0032869),0.39899291374283785,1.172383472145087,0.28815977175463625,0.7038506652252812,1.0,3/15,9.19%,INSR;RAB13;GRB10
prerank,Regulation Of Neuron Apoptotic Process (GO:0043523),0.4224105602033734,1.1585964858662583,0.29831932773109243,0.7306678890067604,1.0,4/11,11.70%,SET;MEF2C;BAX;MDK
prerank,Regulation Of Vesicle-Mediated Transport (GO:0060627),0.40123825872139024,1.1576624676526888,0.30527817403708984,0.7261482563325661,1.0,2/14,2.79%,AP2S1;RAB13
prerank,Regulation Of RNA Metabolic Process (GO:0051252),0.41981118463223466,1.15760832980271,0.32122093023255816,0.7195194343035531,1.0,4/12,14.14%,HNRNPA1;PRDX6;AHNAK;PCBP2
prerank,Regulation Of Protein Kinase Activity (GO:0045859),0.4046044151909904,1.1570924899201924,0.2958152958152958,0.7141505114674617,1.0,11/12,55.71%,HSPB1;ITGB1BP1;WWTR1;IQGAP1;RAP1A;RASSF2;XRCC5;THY1;JTB;PPIA;CCNY
prerank,Ribosome Biogenesis (GO:0042254),0.43850125741199847,1.1503662817279743,0.3026315789473684,0.7238329479803958,1.0,4/10,17.48%,FBL;NPM1;GTF3A;RSL24D1
prerank,Cilium Assembly (GO:0060271),0.3845504199328138,1.1456192853618314,0.3190271816881259,0.7287697603219935,1.0,3/16,5.15%,FLNA;EHD4;GSN
prerank,Neuron Differentiation (GO:0030182),0.42500720739583947,1.1345066661489696,0.3342696629213483,0.7488597073456427,1.0,4/10,21.52%,SOX4;MEF2C;MTPN;MANF
prerank,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),0.4249779755445008,1.133397660084017,0.32729805013927576,0.7448059299656663,1.0,3/10,11.70%,SET;MEF2C;MDK
prerank,protein-RNA Complex Assembly (GO:0022618),0.3258757770187805,1.1330314664970507,0.3229901269393512,0.7393172665560541,1.0,9/28,22.14%,SNRPE;EIF3L;EIF3H;SNRPD1;EIF3E;EIF3F;EIF3G;EIF3D;EIF2S2
prerank,Positive Regulation Of Intracellular Protein Transport (GO:0090316),0.37007954151550626,1.13294746782193,0.343878954607978,0.7331692577924996,1.0,13/17,47.49%,FLNA;ITGB1BP1;ANP32B;JUP;TOMM7;OAZ2;ERGIC3;RAN;TPR;FIS1;TGFB1;SH3GLB1;CD81
prerank,Protein Glycosylation (GO:0006486),0.42242338569859533,1.1210249151970844,0.31721194879089615,0.7541454308595349,1.0,2/10,4.25%,OST4;MLEC
prerank,Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),0.39420877093451506,1.1193098757982218,0.3284457478005865,0.7519188320127196,1.0,4/14,13.79%,SYNPO;PFN1;GSN;VASP
prerank,Regulation Of Gene Expression (GO:0010468),0.24440614623262694,1.1173787027447417,0.2951251646903821,0.7502827764814438,1.0,46/110,33.43%,CD34;GJA1;INSR;ACTG1;SOX4;UXT;HNRNPA1;GSN;ERP29;YBX1;MEF2C;PTP4A3;ETS1;PRDX6;AHNAK;PFDN5;BCL6B;HINT1;LIMS1;PCBP2;HNRNPD;ATP2B4;WWTR1;CNPY2;SNF8;LGALS9;MSN;RGCC;ZNHIT1;NONO;HNRNPAB;PDCD5;PPP2R1A;ZNF22;BPTF;SF3B5;SUPT4H1;YY1;PUM1;ROCK1;JMJD1C;NR5A2;LARP1;MBNL1;KDR;ATF4
prerank,Regulation Of Cell-Matrix Adhesion (GO:0001952),0.4082218067906013,1.1160492876512975,0.3462109955423477,0.7471411600950347,1.0,4/11,19.15%,ACTG1;LIMCH1;MAP4K4;JUP
prerank,Cilium Organization (GO:0044782),0.36780815768709746,1.1106606650262305,0.35704125177809387,0.7536866058287041,1.0,3/17,5.15%,FLNA;EHD4;GSN
prerank,Protein Localization (GO:0008104),0.29048256175781,1.1086847166379195,0.3356353591160221,0.7521058539691332,1.0,11/42,15.67%,GJA1;FLNA;ERP29;NPM1;ROMO1;LAMTOR2;ABHD17A;ACTB;CUTA;YWHAH;LAMTOR1
prerank,Cellular Response To Growth Factor Stimulus (GO:0071363),0.3210883521649896,1.1085796563974581,0.336231884057971,0.7462697350272426,1.0,5/29,7.31%,EEF1A1;HSPB1;FLT1;MEF2C;ITGB1BP1
prerank,Regulation Of Inflammatory Response (GO:0050727),0.34837211850664984,1.1065300863406726,0.3422913719943423,0.7448615504259872,1.0,6/22,13.37%,MGLL;LGALS1;TMSB4X;ETS1;MDK;DDT
