gene,logfoldchanges,pvals,pvals_adj
ERP29,1.460481,7.60752749437405e-12,1.1100549906870242e-09
YBX1,1.0444291,9.223306904515956e-12,1.3317296220562358e-09
LGALS1,1.3810475,9.223306904515956e-12,1.3317296220562358e-09
TMSB4X,0.4187352,9.39024165644417e-12,1.3487712729240487e-09
MZT2B,1.4419788,9.658565930041849e-12,1.378293390130104e-09
PXDN,2.2660496,9.695732746582064e-12,1.378293390130104e-09
METTL9,1.3707691,1.0429120795685732e-11,1.469296815236846e-09
TOMM20,1.460587,1.0442460504257807e-11,1.469296815236846e-09
TNFRSF4,1.989977,1.1879494258879615e-11,1.663008592240518e-09
MYL9,1.4897077,1.2677007085929667e-11,1.765689401089739e-09
SPARC,0.8488216,1.426848336782973e-11,1.977368011648283e-09
EIF4B,1.3893427,1.6239240593709215e-11,2.2280884432503123e-09
DPYSL3,1.4165053,1.7191221684100918e-11,2.3470272851689857e-09
MEF2C,1.2198374,1.8545958955182466e-11,2.5195096357932123e-09
ZNF428,1.386076,2.0541837991642166e-11,2.7769745496740573e-09
SOX18,1.5557971,2.1387006013355413e-11,2.8771261065186125e-09
NUDT3,1.5685216,2.395077458895201e-11,3.2063808816219345e-09
RPS26,1.0065762,2.668053805202562e-11,3.5545694608635875e-09
SLC25A3,1.2495868,2.773736609081111e-11,3.6776013560211e-09
C12orf57,1.2372338,3.837204373270538e-11,5.063273789763393e-09
CCDC50,1.3244888,4.334001018917033e-11,5.6915752428425675e-09
ATP5G1,1.3936965,4.360968513282807e-11,5.6998478511522875e-09
CANX,1.3070815,4.5600403534360016e-11,5.931924191842361e-09
STMN1,1.503907,6.263515655711804e-11,8.109635434423481e-09
BANF1,1.2038125,7.135047695827306e-11,9.194875951192776e-09
ATP5D,1.2204989,7.330259119624404e-11,9.40250632562799e-09
NDUFS5,1.2281357,8.521771131213178e-11,1.0880250197064676e-08
RBP7,4.129017,8.796877695756864e-11,1.1179737008920865e-08
COX5A,1.230865,8.981430279116614e-11,1.1361921295297155e-08
ACTN4,1.174555,1.18831068103669e-10,1.4964032859191706e-08
UBE2I,1.3196712,1.3478978318183363e-10,1.689651200267549e-08
ITGB1BP1,1.4175563,1.3759032797476052e-10,1.716952970537532e-08
FBL,1.6800967,1.3825749888571596e-10,1.717506893815439e-08
CBX3,1.2937498,1.4722378698078488e-10,1.8206895055408457e-08
PRKCDBP,1.5236537,2.2447165087612676e-10,2.763606780295457e-08
PTP4A2,1.4599657,2.2690035371621416e-10,2.781092424349224e-08
SERBP1,1.167298,2.6592895972744166e-10,3.24503931476256e-08
DSTN,1.1820475,2.928336634694311e-10,3.55760650711893e-08
MCAM,1.2790781,2.9916401993754936e-10,3.618572518349885e-08
EMCN,1.2114481,3.6593388281239714e-10,4.406866646375672e-08
NDST1,1.9909536,4.3318922594921373e-10,5.19412716227279e-08
PTP4A3,1.6625464,5.017508200205248e-10,5.990166283344603e-08
RPS27L,1.1503518,5.136613500014453e-10,6.10592789238787e-08
LDHB,1.8138764,5.357993910233048e-10,6.341749186970258e-08
MRPL51,1.1769617,5.408439515312988e-10,6.374100211679554e-08
FKBP1A,0.74570686,5.446577577206839e-10,6.39173261379618e-08
LSM7,1.3374401,6.158073380757278e-10,7.196074054852721e-08
GRAMD1A,1.879623,7.550242208355114e-10,8.785678465064022e-08
COX7B,1.1633446,8.819439310114076e-10,1.0212066498286261e-07
ETS1,1.1918383,8.850112020778941e-10,1.0212066498286261e-07
PCDH17,1.1603796,9.573938974246937e-10,1.1001253709657583e-07
TMEM255B,1.2833298,1.0189572076353838e-09,1.1660083764385316e-07
NPM1,1.117554,1.1847863558742222e-09,1.3501668645578223e-07
FAM101B,1.3370694,1.342575446060812e-09,1.5236850062331306e-07
C6orf48,1.2096201,1.4746013346063887e-09,1.6666621149907784e-07
PDLIM1,1.1036522,1.6452905868847838e-09,1.8519928083717782e-07
ANP32B,1.3261925,1.7005368693127206e-09,1.9063986090205776e-07
ROMO1,1.2585648,1.8247811367655295e-09,2.037401384199181e-07
KRT10,1.146313,1.9578537961720135e-09,2.175812384277224e-07
PRDX2,1.1047038,1.9645271001705303e-09,2.175812384277224e-07
GRB10,1.6607763,2.1315013770992173e-09,2.3513017991056886e-07
SNX3,1.0411382,2.270852377691342e-09,2.4950425048594356e-07
C19orf43,1.1468755,2.46867208329458e-09,2.701628520361029e-07
PRDX6,1.1605353,2.5708812052337476e-09,2.802362129562699e-07
RALB,1.1283072,2.6087935151397084e-09,2.8213846102165835e-07
C11orf96,3.461106,2.7105414226359774e-09,2.9199730997443353e-07
SMDT1,1.2424433,2.772187550646408e-09,2.974762189561348e-07
NDUFB2,1.1096967,2.8479666223384974e-09,3.044233469412833e-07
COL18A1,1.5615203,3.0191391262189736e-09,3.214742039492929e-07
LAMA4,1.3329213,3.1084413293055583e-09,3.297099806907257e-07
CSTB,1.0979924,3.324451137353532e-09,3.5127093281967705e-07
RBP5,3.1492193,3.45327203101471e-09,3.6348983233329646e-07
C19orf53,1.0881537,3.5234255582437787e-09,3.694639925674788e-07
BAX,1.2924405,4.045836574631787e-09,4.2104181530262426e-07
TMEM230,1.0965129,4.2017792199000664e-09,4.3562656889625576e-07
PSMB7,1.1151907,4.984486954712e-09,5.148396301013017e-07
PPP1R14B,2.5370827,5.186971119185153e-09,5.317705930293239e-07
AHNAK,1.0993274,5.403413193951123e-09,5.519086261584596e-07
ARPC5L,1.4115356,5.493641171584495e-09,5.590540082286243e-07
UBE2J1,1.3216085,5.548479744915735e-09,5.625587294311991e-07
PFDN5,1.0080851,5.66600456101181e-09,5.723702336395008e-07
HTRA1,1.4727988,5.735148397687013e-09,5.772405931073446e-07
BCL6B,1.9548808,5.830759687498916e-09,5.847297842248913e-07
COX4I1,0.9773611,6.566429422580171e-09,6.561195312170868e-07
SNRPD1,1.07694,6.66816670637328e-09,6.622184144099903e-07
S100A16,1.018321,6.6754920300956306e-09,6.622184144099903e-07
LAMTOR2,1.2104845,6.7937671364601565e-09,6.715358784562659e-07
SEC11A,1.1141417,7.782125851262436e-09,7.664838097361267e-07
LIMCH1,1.6253867,7.867662098523302e-09,7.721508375554293e-07
EIF3E,1.0796312,7.92808066932031e-09,7.753213074415444e-07
LMO2,1.2142721,8.51108603793763e-09,8.293948083188832e-07
CCL14,1.8529891,8.851700885924244e-09,8.595500247606295e-07
TSPAN13,1.9586734,9.868868659101901e-09,9.549602101077621e-07
NDUFS8,1.1174674,1.0162434219315122e-08,9.799287094415119e-07
TRIM47,1.8803214,1.0869032670044473e-08,1.0407853575503003e-06
ABHD17A,1.4670459,1.137458531511566e-08,1.0840265861885703e-06
MDK,1.1549604,1.1399220755482102e-08,1.0840265861885703e-06
TPM4,1.0664322,1.2189167786659198e-08,1.1551644990394754e-06
HINT1,0.9683885,1.2509021608099332e-08,1.181417116123847e-06
APOD,2.4953942,1.294820433504805e-08,1.2185102444708177e-06
TSC22D1,1.0246598,1.2990137496352906e-08,1.2185102444708177e-06
SVIL,1.6585549,1.3130869785085164e-08,1.2275360235019617e-06
C19orf60,1.1509026,1.3991839473525274e-08,1.3036045574354054e-06
TCEAL8,1.2065879,1.462217917778069e-08,1.3577456476930502e-06
MAP4K4,1.4976708,1.5019979894988602e-08,1.3853545335919587e-06
LIMS1,1.6475337,1.5149481843812138e-08,1.392641367628837e-06
ENO1,1.1082926,1.551122951865716e-08,1.421158430782482e-06
ACTB,0.49840593,1.61905642746474e-08,1.4784880184312123e-06
CRIP2,0.97543114,1.6629729645222037e-08,1.5135798156961496e-06
APCDD1,2.4724233,1.805628364481175e-08,1.63264324707088e-06
PPIC,1.9912477,2.2009921991291245e-08,1.983626237502712e-06
NES,1.551852,2.2127035048195988e-08,1.9876852526356643e-06
CCNI,1.052137,2.375592359290285e-08,2.1270807170294634e-06
NME1,1.7579067,2.496742009998988e-08,2.2258365190670972e-06
NAA38,1.063878,2.5020281416737985e-08,2.2258365190670972e-06
CMTM3,1.2285467,2.525950451735404e-08,2.2398926545967514e-06
SLC25A5,1.0380986,2.69688592590283e-08,2.3838051302739823e-06
NDUFAB1,1.0050277,2.748580014561191e-08,2.421736090784937e-06
CUTA,1.0704482,2.9433795965278093e-08,2.585112181944074e-06
POMP,1.0127574,2.996497326863746e-08,2.623409627944393e-06
DDT,1.2853698,3.112069654261019e-08,2.715970155861088e-06
ARL6IP4,1.0199124,3.2421521875672223e-08,2.8205701270892386e-06
RNASEH2C,1.2172688,3.352811997502312e-08,2.907668215947131e-06
BACE2,3.0910933,3.449023331244723e-08,2.981729323795203e-06
BTF3,0.8629668,3.470764475350558e-08,2.991148209413053e-06
POLR1D,1.1348808,4.5660471819374557e-08,3.92281773157231e-06
VASP,1.2098172,5.091190878621033e-08,4.360399442565554e-06
CD99,1.0194293,5.1708345423802866e-08,4.414900155101038e-06
SSBP1,0.99430746,5.780996238808906e-08,4.920626983761483e-06
FAM129A,2.7205646,6.23875765910088e-08,5.293921806851817e-06
TRAPPC1,1.0009379,6.44741152807475e-08,5.454193715375627e-06
PCBP2,1.0416348,6.913488086819222e-08,5.830586374871575e-06
RPL36A,1.0148346,7.299225026877106e-08,6.137134993634659e-06
HNRNPD,1.0974958,7.48067975217501e-08,6.270583167339891e-06
DARS,1.1984762,7.658668955640994e-08,6.400326438141434e-06
CALM1,0.8177305,8.092824445427885e-08,6.7427163914202475e-06
YWHAH,1.142508,8.38685119302463e-08,6.966644042205821e-06
DYSF,1.1985997,8.824898591314962e-08,7.286618363810899e-06
NDUFB8,1.006541,8.915128178681505e-08,7.3391464152739864e-06
TOMM22,1.1613617,9.153925179701132e-08,7.5133020418392206e-06
VOPP1,1.8825902,9.456339062878732e-08,7.738484233711266e-06
KTN1,1.0015818,1.0349164632933468e-07,8.44406101322601e-06
IGKC,1.3660743,1.086401373750662e-07,8.837987340795209e-06
RAI14,2.5925887,1.2637720628066807e-07,1.0220617580082887e-05
ATP2B4,1.3734555,1.2726995570831581e-07,1.026272175006998e-05
ADAMTS9,2.5322526,1.3449989295082058e-07,1.0814105095620203e-05
PRSS23,1.0860993,1.3681387860750733e-07,1.0968177744877433e-05
GADD45GIP1,0.95674837,1.3916635197560667e-07,1.1124433781980524e-05
PAIP1,1.5344088,1.4155792977076481e-07,1.1282903431266335e-05
BID,2.397084,1.4485695166478194e-07,1.1490996694687536e-05
UBE2E3,1.3040007,1.4500206141675474e-07,1.1490996694687536e-05
ALKBH7,1.2952694,1.5243956364877306e-07,1.2011366532302467e-05
SERF2,0.67377245,1.5567215149453906e-07,1.2231129897197716e-05
CAMLG,1.1771697,1.5723468235760246e-07,1.2318801335391934e-05
LAMTOR1,0.9762682,1.5786393197682106e-07,1.2333063784863374e-05
CHMP3,1.0966341,1.6088627391137578e-07,1.2533677011095824e-05
CHMP4B,1.4153985,1.6511292138741157e-07,1.2790685803432687e-05
WWTR1,0.9588088,1.6776708809066058e-07,1.2959890071048284e-05
GTF3A,1.3098838,1.6910959452749357e-07,1.302710725664586e-05
UBE2R2,1.382024,1.7650542345585707e-07,1.3558959799625699e-05
VKORC1,0.9673936,1.788022711178906e-07,1.3697247313581074e-05
